Year,NOC,strong_point,hhi,award_rate,host,participate_num,history_performance
1992,AIN,0,0.0,0.0,ESP,0,0.0
1996,AIN,0,0.0,0.0,USA,0,0.0
2000,AIN,0,0.0,0.0,AUS,0,0.0
2004,AIN,0,0.0,0.0,GRE,0,0.0
2008,AIN,0,0.0,0.0,CHN,0,0.0
2012,AIN,0,0.0,0.0,GBR,0,0.0
2016,AIN,0,0.0,0.0,BRA,0,0.0
2020,AIN,0,0.0,0.0,JPN,0,0.0
2024,AIN,3,0.28,0.15625,FRA,32,1.6666666666666667
1896,ALB,0,0.0,0.0,GRE,0,0.0
1900,ALB,0,0.0,0.0,FRA,0,0.0
1904,ALB,0,0.0,0.0,USA,0,0.0
1908,ALB,0,0.0,0.0,GBR,0,0.0
1912,ALB,0,0.0,0.0,SWE,0,0.0
1920,ALB,0,0.0,0.0,BEL,0,0.0
1924,ALB,0,0.0,0.0,FRA,0,0.0
1928,ALB,0,0.0,0.0,NED,0,0.0
1932,ALB,0,0.0,0.0,USA,0,0.0
1936,ALB,0,0.0,0.0,GER,0,0.0
1948,ALB,0,0.0,0.0,GBR,0,0.0
1952,ALB,0,0.0,0.0,FIN,0,0.0
1956,ALB,0,0.0,0.0,AUS,0,0.0
1960,ALB,0,0.0,0.0,ITA,0,0.0
1964,ALB,0,0.0,0.0,JPN,0,0.0
1968,ALB,0,0.0,0.0,MEX,0,0.0
1972,ALB,0,0.0,0.0,FRG,5,0.0
1976,ALB,0,0.0,0.0,CAN,0,0.0
1980,ALB,0,0.0,0.0,URS,0,0.0
1984,ALB,0,0.0,0.0,USA,0,0.0
1988,ALB,0,0.0,0.0,KOR,0,0.0
1992,ALB,0,0.0,0.0,ESP,7,0.0
1996,ALB,0,0.0,0.0,USA,7,0.0
2000,ALB,0,0.0,0.0,AUS,4,0.0
2004,ALB,0,0.0,0.0,GRE,7,0.0
2008,ALB,0,0.0,0.0,CHN,11,0.0
2012,ALB,0,0.0,0.0,GBR,9,0.0
2016,ALB,0,0.0,0.0,BRA,6,0.0
2020,ALB,0,0.0,0.0,JPN,9,0.0
2024,ALB,1,1.0,0.25,FRA,8,0.6666666666666666
1896,ALG,0,0.0,0.0,GRE,0,0.0
1900,ALG,0,0.0,0.0,FRA,0,0.0
1904,ALG,0,0.0,0.0,USA,0,0.0
1908,ALG,0,0.0,0.0,GBR,0,0.0
1912,ALG,0,0.0,0.0,SWE,0,0.0
1920,ALG,0,0.0,0.0,BEL,0,0.0
1924,ALG,0,0.0,0.0,FRA,0,0.0
1928,ALG,0,0.0,0.0,NED,0,0.0
1932,ALG,0,0.0,0.0,USA,0,0.0
1936,ALG,0,0.0,0.0,GER,0,0.0
1948,ALG,0,0.0,0.0,GBR,0,0.0
1952,ALG,0,0.0,0.0,FIN,0,0.0
1956,ALG,0,0.0,0.0,AUS,0,0.0
1960,ALG,0,0.0,0.0,ITA,0,0.0
1964,ALG,0,0.0,0.0,JPN,1,0.0
1968,ALG,0,0.0,0.0,MEX,3,0.0
1972,ALG,0,0.0,0.0,FRG,5,0.0
1976,ALG,0,0.0,0.0,CAN,0,0.0
1980,ALG,0,0.0,0.0,URS,54,0.0
1984,ALG,1,1.0,0.030303030303030304,USA,33,0.3333333333333333
1988,ALG,1,0.0,0.0,KOR,42,0.3333333333333333
1992,ALG,2,0.5,0.05714285714285714,ESP,35,1.0
1996,ALG,2,0.5555555555555556,0.044444444444444446,USA,45,1.3333333333333333
2000,ALG,2,0.6800000000000002,0.0851063829787234,AUS,47,2.6666666666666665
2004,ALG,2,0.0,0.0,GRE,61,2.0
2008,ALG,3,1.0,0.03571428571428571,CHN,56,2.0
2012,ALG,3,1.0,0.02631578947368421,GBR,38,1.0
2016,ALG,3,1.0,0.015625,BRA,64,1.6666666666666667
2020,ALG,3,0.0,0.0,JPN,41,1.0
2024,ALG,3,0.3333333333333333,0.06521739130434782,FRA,46,1.6666666666666667
1896,AND,0,0.0,0.0,GRE,0,0.0
1900,AND,0,0.0,0.0,FRA,0,0.0
1904,AND,0,0.0,0.0,USA,0,0.0
1908,AND,0,0.0,0.0,GBR,0,0.0
1912,AND,0,0.0,0.0,SWE,0,0.0
1920,AND,0,0.0,0.0,BEL,0,0.0
1924,AND,0,0.0,0.0,FRA,0,0.0
1928,AND,0,0.0,0.0,NED,0,0.0
1932,AND,0,0.0,0.0,USA,0,0.0
1936,AND,0,0.0,0.0,GER,0,0.0
1948,AND,0,0.0,0.0,GBR,0,0.0
1952,AND,0,0.0,0.0,FIN,0,0.0
1956,AND,0,0.0,0.0,AUS,0,0.0
1960,AND,0,0.0,0.0,ITA,0,0.0
1964,AND,0,0.0,0.0,JPN,0,0.0
1968,AND,0,0.0,0.0,MEX,0,0.0
1972,AND,0,0.0,0.0,FRG,0,0.0
1976,AND,0,0.0,0.0,CAN,3,0.0
1980,AND,0,0.0,0.0,URS,2,0.0
1984,AND,0,0.0,0.0,USA,2,0.0
1988,AND,0,0.0,0.0,KOR,3,0.0
1992,AND,0,0.0,0.0,ESP,8,0.0
1996,AND,0,0.0,0.0,USA,8,0.0
2000,AND,0,0.0,0.0,AUS,5,0.0
2004,AND,0,0.0,0.0,GRE,6,0.0
2008,AND,0,0.0,0.0,CHN,5,0.0
2012,AND,0,0.0,0.0,GBR,6,0.0
2016,AND,0,0.0,0.0,BRA,4,0.0
2020,AND,0,0.0,0.0,JPN,2,0.0
2024,AND,0,0.0,0.0,FRA,2,0.0
1896,ANG,0,0.0,0.0,GRE,0,0.0
1900,ANG,0,0.0,0.0,FRA,0,0.0
1904,ANG,0,0.0,0.0,USA,0,0.0
1908,ANG,0,0.0,0.0,GBR,0,0.0
1912,ANG,0,0.0,0.0,SWE,0,0.0
1920,ANG,0,0.0,0.0,BEL,0,0.0
1924,ANG,0,0.0,0.0,FRA,0,0.0
1928,ANG,0,0.0,0.0,NED,0,0.0
1932,ANG,0,0.0,0.0,USA,0,0.0
1936,ANG,0,0.0,0.0,GER,0,0.0
1948,ANG,0,0.0,0.0,GBR,0,0.0
1952,ANG,0,0.0,0.0,FIN,0,0.0
1956,ANG,0,0.0,0.0,AUS,0,0.0
1960,ANG,0,0.0,0.0,ITA,0,0.0
1964,ANG,0,0.0,0.0,JPN,0,0.0
1968,ANG,0,0.0,0.0,MEX,0,0.0
1972,ANG,0,0.0,0.0,FRG,0,0.0
1976,ANG,0,0.0,0.0,CAN,0,0.0
1980,ANG,0,0.0,0.0,URS,11,0.0
1984,ANG,0,0.0,0.0,USA,0,0.0
1988,ANG,0,0.0,0.0,KOR,24,0.0
1992,ANG,0,0.0,0.0,ESP,28,0.0
1996,ANG,0,0.0,0.0,USA,28,0.0
2000,ANG,0,0.0,0.0,AUS,30,0.0
2004,ANG,0,0.0,0.0,GRE,30,0.0
2008,ANG,0,0.0,0.0,CHN,32,0.0
2012,ANG,0,0.0,0.0,GBR,33,0.0
2016,ANG,0,0.0,0.0,BRA,26,0.0
2020,ANG,0,0.0,0.0,JPN,20,0.0
2024,ANG,0,0.0,0.0,FRA,25,0.0
1896,ANT,0,0.0,0.0,GRE,0,0.0
1900,ANT,0,0.0,0.0,FRA,0,0.0
1904,ANT,0,0.0,0.0,USA,0,0.0
1908,ANT,0,0.0,0.0,GBR,0,0.0
1912,ANT,0,0.0,0.0,SWE,0,0.0
1920,ANT,0,0.0,0.0,BEL,0,0.0
1924,ANT,0,0.0,0.0,FRA,0,0.0
1928,ANT,0,0.0,0.0,NED,0,0.0
1932,ANT,0,0.0,0.0,USA,0,0.0
1936,ANT,0,0.0,0.0,GER,0,0.0
1948,ANT,0,0.0,0.0,GBR,0,0.0
1952,ANT,0,0.0,0.0,FIN,0,0.0
1956,ANT,0,0.0,0.0,AUS,0,0.0
1960,ANT,0,0.0,0.0,ITA,0,0.0
1964,ANT,0,0.0,0.0,JPN,0,0.0
1968,ANT,0,0.0,0.0,MEX,0,0.0
1972,ANT,0,0.0,0.0,FRG,0,0.0
1976,ANT,0,0.0,0.0,CAN,10,0.0
1980,ANT,0,0.0,0.0,URS,0,0.0
1984,ANT,0,0.0,0.0,USA,14,0.0
1988,ANT,0,0.0,0.0,KOR,15,0.0
1992,ANT,0,0.0,0.0,ESP,13,0.0
1996,ANT,0,0.0,0.0,USA,13,0.0
2000,ANT,0,0.0,0.0,AUS,3,0.0
2004,ANT,0,0.0,0.0,GRE,5,0.0
2008,ANT,0,0.0,0.0,CHN,5,0.0
2012,ANT,0,0.0,0.0,GBR,4,0.0
2016,ANT,0,0.0,0.0,BRA,8,0.0
2020,ANT,0,0.0,0.0,JPN,6,0.0
2024,ANT,0,0.0,0.0,FRA,5,0.0
1896,ANZ,0,0.0,0.0,GRE,0,0.0
1900,ANZ,0,0.0,0.0,FRA,0,0.0
1904,ANZ,0,0.0,0.0,USA,0,0.0
1908,ANZ,3,0.28,0.13333333333333333,GBR,30,1.6666666666666667
1912,ANZ,2,0.7551020408163265,0.24,SWE,25,3.6666666666666665
1920,ANZ,3,0.0,0.0,BEL,0,3.6666666666666665
1924,ANZ,3,0.0,0.0,FRA,0,2.0
1928,ANZ,3,0.0,0.0,NED,0,0.0
1932,ANZ,3,0.0,0.0,USA,0,0.0
1936,ANZ,3,0.0,0.0,GER,0,0.0
1948,ANZ,3,0.0,0.0,GBR,0,0.0
1952,ANZ,3,0.0,0.0,FIN,0,0.0
1956,ANZ,3,0.0,0.0,AUS,0,0.0
1960,ANZ,3,0.0,0.0,ITA,0,0.0
1964,ANZ,3,0.0,0.0,JPN,0,0.0
1968,ANZ,3,0.0,0.0,MEX,0,0.0
1972,ANZ,3,0.0,0.0,FRG,0,0.0
1976,ANZ,3,0.0,0.0,CAN,0,0.0
1980,ANZ,3,0.0,0.0,URS,0,0.0
1984,ANZ,3,0.0,0.0,USA,0,0.0
1988,ANZ,3,0.0,0.0,KOR,0,0.0
1992,ANZ,3,0.0,0.0,ESP,0,0.0
1996,ANZ,3,0.0,0.0,USA,0,0.0
2000,ANZ,3,0.0,0.0,AUS,0,0.0
2004,ANZ,3,0.0,0.0,GRE,0,0.0
2008,ANZ,3,0.0,0.0,CHN,0,0.0
2012,ANZ,3,0.0,0.0,GBR,0,0.0
2016,ANZ,3,0.0,0.0,BRA,0,0.0
2020,ANZ,3,0.0,0.0,JPN,0,0.0
2024,ANZ,3,0.0,0.0,FRA,0,0.0
1896,ARG,0,0.0,0.0,GRE,0,0.0
1900,ARG,0,0.0,0.0,FRA,1,0.0
1904,ARG,0,0.0,0.0,USA,0,0.0
1908,ARG,0,0.0,0.0,GBR,1,0.0
1912,ARG,0,0.0,0.0,SWE,0,0.0
1920,ARG,0,0.0,0.0,BEL,1,0.0
1924,ARG,3,0.5,0.03896103896103896,FRA,77,1.0
1928,ARG,3,0.38775510204081637,0.06172839506172839,NED,81,2.6666666666666665
1932,ARG,3,0.625,0.030303030303030304,USA,33,3.0
1936,ARG,3,0.38775510204081637,0.11764705882352941,GER,51,4.0
1948,ARG,3,0.30612244897959184,0.035175879396984924,GBR,199,4.666666666666667
1952,ARG,3,0.28,0.04065040650406504,FIN,123,6.0
1956,ARG,3,0.5,0.02857142857142857,AUS,35,4.333333333333333
1960,ARG,3,0.5,0.021739130434782608,ITA,92,2.6666666666666665
1964,ARG,3,1.0,0.00980392156862745,JPN,102,1.3333333333333333
1968,ARG,3,0.5,0.02247191011235955,MEX,89,1.6666666666666667
1972,ARG,3,1.0,0.010869565217391304,FRG,92,1.3333333333333333
1976,ARG,3,0.0,0.0,CAN,69,1.0
1980,ARG,3,0.0,0.0,URS,0,0.3333333333333333
1984,ARG,3,0.0,0.0,USA,81,0.0
1988,ARG,3,0.5,0.01694915254237288,KOR,118,0.6666666666666666
1992,ARG,3,1.0,0.011904761904761904,ESP,84,1.0
1996,ARG,3,0.3333333333333333,0.01675977653631285,USA,179,2.0
2000,ARG,3,0.625,0.014084507042253521,AUS,142,2.0
2004,ARG,3,0.16666666666666669,0.033112582781456956,GRE,151,3.3333333333333335
2008,ARG,3,0.16666666666666669,0.030534351145038167,CHN,131,3.6666666666666665
2012,ARG,3,0.25,0.021897810218978103,GBR,137,4.0
2016,ARG,3,0.25,0.018604651162790697,BRA,215,3.6666666666666665
2020,ARG,3,0.3333333333333333,0.015873015873015872,JPN,189,3.3333333333333335
2024,ARG,3,0.3333333333333333,0.02097902097902098,FRA,143,3.3333333333333335
1896,ARM,0,0.0,0.0,GRE,0,0.0
1900,ARM,0,0.0,0.0,FRA,0,0.0
1904,ARM,0,0.0,0.0,USA,0,0.0
1908,ARM,0,0.0,0.0,GBR,0,0.0
1912,ARM,0,0.0,0.0,SWE,0,0.0
1920,ARM,0,0.0,0.0,BEL,0,0.0
1924,ARM,0,0.0,0.0,FRA,0,0.0
1928,ARM,0,0.0,0.0,NED,0,0.0
1932,ARM,0,0.0,0.0,USA,0,0.0
1936,ARM,0,0.0,0.0,GER,0,0.0
1948,ARM,0,0.0,0.0,GBR,0,0.0
1952,ARM,0,0.0,0.0,FIN,0,0.0
1956,ARM,0,0.0,0.0,AUS,0,0.0
1960,ARM,0,0.0,0.0,ITA,0,0.0
1964,ARM,0,0.0,0.0,JPN,0,0.0
1968,ARM,0,0.0,0.0,MEX,0,0.0
1972,ARM,0,0.0,0.0,FRG,0,0.0
1976,ARM,0,0.0,0.0,CAN,0,0.0
1980,ARM,0,0.0,0.0,URS,0,0.0
1984,ARM,0,0.0,0.0,USA,0,0.0
1988,ARM,0,0.0,0.0,KOR,0,0.0
1992,ARM,0,0.0,0.0,ESP,0,0.0
1996,ARM,1,1.0,0.0625,USA,32,0.6666666666666666
2000,ARM,2,1.0,0.0,AUS,25,0.6666666666666666
2004,ARM,2,0.0,0.0,GRE,18,0.6666666666666666
2008,ARM,3,0.3888888888888889,0.20833333333333334,CHN,24,2.0
2012,ARM,3,0.5555555555555556,0.125,GBR,24,3.0
2016,ARM,3,0.5,0.12903225806451613,BRA,31,4.333333333333333
2020,ARM,3,0.25,0.23529411764705882,JPN,17,3.6666666666666665
2024,ARM,3,0.375,0.2,FRA,15,3.6666666666666665
1896,ARU,0,0.0,0.0,GRE,0,0.0
1900,ARU,0,0.0,0.0,FRA,0,0.0
1904,ARU,0,0.0,0.0,USA,0,0.0
1908,ARU,0,0.0,0.0,GBR,0,0.0
1912,ARU,0,0.0,0.0,SWE,0,0.0
1920,ARU,0,0.0,0.0,BEL,0,0.0
1924,ARU,0,0.0,0.0,FRA,0,0.0
1928,ARU,0,0.0,0.0,NED,0,0.0
1932,ARU,0,0.0,0.0,USA,0,0.0
1936,ARU,0,0.0,0.0,GER,0,0.0
1948,ARU,0,0.0,0.0,GBR,0,0.0
1952,ARU,0,0.0,0.0,FIN,0,0.0
1956,ARU,0,0.0,0.0,AUS,0,0.0
1960,ARU,0,0.0,0.0,ITA,0,0.0
1964,ARU,0,0.0,0.0,JPN,0,0.0
1968,ARU,0,0.0,0.0,MEX,0,0.0
1972,ARU,0,0.0,0.0,FRG,0,0.0
1976,ARU,0,0.0,0.0,CAN,0,0.0
1980,ARU,0,0.0,0.0,URS,0,0.0
1984,ARU,0,0.0,0.0,USA,0,0.0
1988,ARU,0,0.0,0.0,KOR,8,0.0
1992,ARU,0,0.0,0.0,ESP,5,0.0
1996,ARU,0,0.0,0.0,USA,3,0.0
2000,ARU,0,0.0,0.0,AUS,5,0.0
2004,ARU,0,0.0,0.0,GRE,4,0.0
2008,ARU,0,0.0,0.0,CHN,2,0.0
2012,ARU,0,0.0,0.0,GBR,4,0.0
2016,ARU,0,0.0,0.0,BRA,7,0.0
2020,ARU,0,0.0,0.0,JPN,3,0.0
2024,ARU,0,0.0,0.0,FRA,6,0.0
1896,ASA,0,0.0,0.0,GRE,0,0.0
1900,ASA,0,0.0,0.0,FRA,0,0.0
1904,ASA,0,0.0,0.0,USA,0,0.0
1908,ASA,0,0.0,0.0,GBR,0,0.0
1912,ASA,0,0.0,0.0,SWE,0,0.0
1920,ASA,0,0.0,0.0,BEL,0,0.0
1924,ASA,0,0.0,0.0,FRA,0,0.0
1928,ASA,0,0.0,0.0,NED,0,0.0
1932,ASA,0,0.0,0.0,USA,0,0.0
1936,ASA,0,0.0,0.0,GER,0,0.0
1948,ASA,0,0.0,0.0,GBR,0,0.0
1952,ASA,0,0.0,0.0,FIN,0,0.0
1956,ASA,0,0.0,0.0,AUS,0,0.0
1960,ASA,0,0.0,0.0,ITA,0,0.0
1964,ASA,0,0.0,0.0,JPN,0,0.0
1968,ASA,0,0.0,0.0,MEX,0,0.0
1972,ASA,0,0.0,0.0,FRG,0,0.0
1976,ASA,0,0.0,0.0,CAN,0,0.0
1980,ASA,0,0.0,0.0,URS,0,0.0
1984,ASA,0,0.0,0.0,USA,0,0.0
1988,ASA,0,0.0,0.0,KOR,6,0.0
1992,ASA,0,0.0,0.0,ESP,3,0.0
1996,ASA,0,0.0,0.0,USA,7,0.0
2000,ASA,0,0.0,0.0,AUS,4,0.0
2004,ASA,0,0.0,0.0,GRE,3,0.0
2008,ASA,0,0.0,0.0,CHN,4,0.0
2012,ASA,0,0.0,0.0,GBR,4,0.0
2016,ASA,0,0.0,0.0,BRA,4,0.0
2020,ASA,0,0.0,0.0,JPN,6,0.0
2024,ASA,0,0.0,0.0,FRA,2,0.0
1896,AUS,2,0.5555555555555556,1.0,GRE,1,1.0
1900,AUS,3,0.5555555555555556,1.0,FRA,2,2.5
1904,AUS,3,1.0,0.5,USA,2,3.0
1908,AUS,3,0.0,0.0,GBR,0,2.6666666666666665
1912,AUS,3,0.0,0.0,SWE,0,1.3333333333333333
1920,AUS,3,0.5555555555555556,0.15384615384615385,BEL,13,1.0
1924,AUS,3,0.5,0.08333333333333333,FRA,36,2.3333333333333335
1928,AUS,3,0.375,0.16666666666666666,NED,18,3.3333333333333335
1932,AUS,3,0.28,0.3076923076923077,USA,13,3.6666666666666665
1936,AUS,3,1.0,0.03125,GER,32,2.6666666666666665
1948,AUS,3,0.3372781065088758,0.09333333333333334,GBR,75,4.0
1952,AUS,3,0.256198347107438,0.037037037037037035,FIN,81,3.6666666666666665
1956,AUS,3,0.293061224489796,0.06711409395973154,AUS,298,11.333333333333334
1960,AUS,3,0.40909090909090917,0.0582010582010582,ITA,189,13.0
1964,AUS,3,0.37037037037037035,0.0411522633744856,JPN,243,15.666666666666666
1968,AUS,3,0.356401384083045,0.0390625,MEX,128,9.333333333333334
1972,AUS,3,0.4048442906574395,0.047619047619047616,FRG,168,9.0
1976,AUS,3,0.28,0.022222222222222223,CAN,180,6.666666666666667
1980,AUS,3,0.6296296296296297,0.05,URS,120,7.333333333333333
1984,AUS,3,0.29513888888888884,0.05371900826446281,USA,242,8.0
1988,AUS,3,0.18367346938775508,0.031746031746031744,KOR,252,9.666666666666666
1992,AUS,3,0.18244170096021947,0.04316546762589928,ESP,278,11.333333333333334
1996,AUS,3,0.14336704342653184,0.05995203836930456,USA,417,15.333333333333334
2000,AUS,3,0.13317479191438766,0.04538087520259319,AUS,617,21.666666666666668
2004,AUS,3,0.1688,0.0574468085106383,GRE,470,28.333333333333332
2008,AUS,3,0.22400756143667297,0.05092592592592592,CHN,432,27.666666666666668
2012,AUS,3,0.15918367346938778,0.04691358024691358,GBR,405,25.0
2016,AUS,3,0.1700356718192628,0.04523809523809524,BRA,420,20.666666666666668
2020,AUS,2,0.21266540642722118,0.07157464212678936,JPN,489,28.333333333333332
2024,AUS,2,0.16050295857988162,0.08227848101265822,FRA,474,36.0
1896,AUT,2,0.52,1.0,GRE,3,5.0
1900,AUT,3,0.5555555555555556,0.25,FRA,16,5.0
1904,AUT,3,0.625,1.0,USA,2,4.666666666666667
1908,AUT,3,1.0,0.14285714285714285,GBR,7,3.3333333333333335
1912,AUT,3,0.375,0.047058823529411764,SWE,85,3.0
1920,AUT,3,0.0,0.0,BEL,0,1.6666666666666667
1924,AUT,3,1.0,0.061224489795918366,FRA,49,2.3333333333333335
1928,AUT,3,0.375,0.0410958904109589,NED,73,2.0
1932,AUT,3,0.3600000000000001,0.21052631578947367,USA,19,3.6666666666666665
1936,AUT,3,0.24567474048442905,0.05982905982905983,GER,234,8.0
1948,AUT,3,0.34375,0.0472972972972973,GBR,148,9.333333333333334
1952,AUT,2,1.0,0.008928571428571428,FIN,112,8.0
1956,AUT,2,0.5,0.029411764705882353,AUS,34,3.0
1960,AUT,2,0.5,0.019417475728155338,ITA,103,1.3333333333333333
1964,AUT,2,0.0,0.0,JPN,56,1.0
1968,AUT,2,0.375,0.06976744186046512,MEX,43,1.6666666666666667
1972,AUT,2,0.3333333333333333,0.02702702702702703,FRG,111,2.0
1976,AUT,2,1.0,0.0,CAN,60,2.0
1980,AUT,2,0.375,0.03614457831325301,URS,83,2.0
1984,AUT,2,0.5555555555555556,0.029411764705882353,USA,102,2.0
1988,AUT,2,1.0,0.0,KOR,73,2.0
1992,AUT,2,0.5,0.0196078431372549,ESP,102,1.6666666666666667
1996,AUT,2,0.5555555555555556,0.013888888888888888,USA,72,1.0
2000,AUT,2,0.5555555555555556,0.03260869565217391,AUS,92,2.0
2004,AUT,2,0.22448979591836732,0.06756756756756757,GRE,74,3.3333333333333335
2008,AUT,2,0.3333333333333333,0.04285714285714286,CHN,70,4.0
2012,AUT,2,0.0,0.0,GBR,70,3.0
2016,AUT,2,1.0,0.014084507042253521,BRA,71,1.3333333333333333
2020,AUT,1,0.18367346938775508,0.09210526315789473,JPN,76,2.6666666666666665
2024,AUT,1,0.3600000000000001,0.05952380952380952,FRA,84,4.333333333333333
1896,AZE,0,0.0,0.0,GRE,0,0.0
1900,AZE,0,0.0,0.0,FRA,0,0.0
1904,AZE,0,0.0,0.0,USA,0,0.0
1908,AZE,0,0.0,0.0,GBR,0,0.0
1912,AZE,0,0.0,0.0,SWE,0,0.0
1920,AZE,0,0.0,0.0,BEL,0,0.0
1924,AZE,0,0.0,0.0,FRA,0,0.0
1928,AZE,0,0.0,0.0,NED,0,0.0
1932,AZE,0,0.0,0.0,USA,0,0.0
1936,AZE,0,0.0,0.0,GER,0,0.0
1948,AZE,0,0.0,0.0,GBR,0,0.0
1952,AZE,0,0.0,0.0,FIN,0,0.0
1956,AZE,0,0.0,0.0,AUS,0,0.0
1960,AZE,0,0.0,0.0,ITA,0,0.0
1964,AZE,0,0.0,0.0,JPN,0,0.0
1968,AZE,0,0.0,0.0,MEX,0,0.0
1972,AZE,0,0.0,0.0,FRG,0,0.0
1976,AZE,0,0.0,0.0,CAN,0,0.0
1980,AZE,0,0.0,0.0,URS,0,0.0
1984,AZE,0,0.0,0.0,USA,0,0.0
1988,AZE,0,0.0,0.0,KOR,0,0.0
1992,AZE,0,0.0,0.0,ESP,0,0.0
1996,AZE,1,1.0,0.043478260869565216,USA,23,0.3333333333333333
2000,AZE,3,0.3333333333333333,0.0967741935483871,AUS,31,1.3333333333333333
2004,AZE,3,0.3600000000000001,0.1388888888888889,GRE,36,3.0
2008,AZE,3,0.42857142857142855,0.1590909090909091,CHN,44,5.0
2012,AZE,3,0.5399999999999999,0.15384615384615385,GBR,52,6.666666666666667
2016,AZE,3,0.3148148148148148,0.2857142857142857,BRA,56,10.333333333333334
2020,AZE,3,0.30612244897959184,0.1590909090909091,JPN,44,10.333333333333334
2024,AZE,3,0.3061224489795918,0.14583333333333334,FRA,48,10.0
1896,BAH,0,0.0,0.0,GRE,0,0.0
